player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Robinio Vaz,Marseille,FRA-Ligue 1,2526,F S,14,346,8,4,2.747,4,2.747,2,0.965,4.459,1.978,0.1962,0.2857,0.7144,0.5
Hamed Junior Traore,Marseille,FRA-Ligue 1,2526,D M S,13,612,13,2,2.745,2,2.745,1,0.887,5.932,2.37,0.2112,0.1538,0.4037,0.154
Tajon Buchanan,Villarreal,ESP-La Liga,2526,F M S,35,1873,27,7,2.743,7,2.743,1,2.597,7.828,2.727,0.0784,0.2,0.1318,0.259
Silvan Widmer,Mainz 05,GER-Bundesliga,2526,D M S,27,1855,20,2,2.739,2,2.739,1,1.809,7.705,4.957,0.1014,0.0741,0.1329,0.1
Josué Casimir,Auxerre,FRA-Ligue 1,2526,D F M S,31,1509,22,1,2.738,1,1.978,0,1.408,5.289,2.542,0.0883,0.0323,0.118,0.045
Luca Koleosho,Paris FC,FRA-Ligue 1,2526,M S,16,517,17,3,2.732,3,2.732,1,1.655,5.772,2.431,0.1707,0.1875,0.4755,0.176
Jens Odgaard,Bologna,ITA-Serie A,2526,F M S,26,1391,35,5,2.729,5,2.729,1,0.936,5.993,3.132,0.105,0.1923,0.1766,0.143
Ibrahim Diabate,Alaves,ESP-La Liga,2526,F S,10,579,15,2,2.727,2,2.727,0,0.148,3.035,0.72,0.2727,0.2,0.4239,0.133
Morten Thorsby,Cremonese,ITA-Serie A,2526,M S,24,1390,21,3,2.719,3,2.719,1,0.796,4.169,1.794,0.1133,0.125,0.176,0.143
Xavi Simons,Tottenham,ENG-Premier League,2526,F M S,28,1768,42,2,2.716,2,2.716,5,4.651,9.53,5.203,0.097,0.0714,0.1383,0.048
Bremer,Juventus,ITA-Serie A,2526,D S,26,2187,23,4,2.712,4,2.712,3,0.411,8.776,8.495,0.1043,0.1538,0.1116,0.174
Danilo Cataldi,Lazio,ITA-Serie A,2526,M S,27,2007,26,3,2.712,1,1.189,3,2.051,6.06,4.789,0.1004,0.1111,0.0533,0.115
Malick Fofana,Lyon,FRA-Ligue 1,2526,M S,12,766,19,2,2.709,2,2.709,1,2.256,6.959,2.975,0.2258,0.1667,0.3183,0.105
Trai Hume,Sunderland,ENG-Premier League,2526,D M S,38,3041,34,2,2.708,2,2.708,1,2.084,8.23,4.202,0.0713,0.0526,0.0801,0.059
Randal Kolo Muani,Tottenham,ENG-Premier League,2526,F M S,30,1704,20,1,2.701,1,2.701,1,1.847,4.246,0.79,0.09,0.0333,0.1426,0.05
Joe Scally,Borussia M.Gladbach,GER-Bundesliga,2526,D M S,32,2615,17,2,2.7,2,2.7,3,1.618,9.641,6.971,0.0844,0.0625,0.0929,0.118
Boulaye Dia,Lazio,ITA-Serie A,2526,F M S,27,1257,12,1,2.698,1,2.698,2,1.712,5.353,2.558,0.0999,0.037,0.1932,0.083
Nicolás Capaldo,Hamburger SV,GER-Bundesliga,2526,D M S,26,2029,22,1,2.69,1,2.69,3,1.846,6.405,2.652,0.1035,0.0385,0.1193,0.045
Franco Mastantuono,Real Madrid,ESP-La Liga,2526,D F M S,23,1026,30,1,2.682,1,2.682,0,2.861,7.649,4.39,0.1166,0.0435,0.2353,0.033
Woo-Yeong Jeong,Union Berlin,GER-Bundesliga,2526,F M S,28,1182,22,4,2.682,4,2.682,1,0.427,4.168,1.484,0.0958,0.1429,0.2042,0.182
Suat Serdar,Verona,ITA-Serie A,2526,M S,20,1102,19,2,2.671,2,2.671,0,1.406,4.575,1.802,0.1335,0.1,0.2181,0.105
Luis Vázquez,Getafe,ESP-La Liga,2526,F S,17,1232,25,3,2.67,3,2.67,1,0.165,4.077,1.731,0.1571,0.1765,0.1951,0.12
Rayan,Bournemouth,ENG-Premier League,2526,M S,15,1146,28,5,2.668,5,2.668,2,2.779,6.338,2.823,0.1779,0.3333,0.2096,0.179
Giovanni Fabbian,Bologna,ITA-Serie A,2526,M S,29,1160,22,2,2.665,2,2.665,0,1.653,5.044,1.983,0.0919,0.069,0.2068,0.091
Hee-Chan Hwang,Wolverhampton Wanderers,ENG-Premier League,2526,F M S,26,1469,19,2,2.662,1,1.901,2,1.882,5.158,1.747,0.1024,0.0769,0.1164,0.105
Takefusa Kubo,Real Sociedad,ESP-La Liga,2526,F M S,24,1531,28,2,2.659,2,2.659,4,4.556,7.781,3.393,0.1108,0.0833,0.1563,0.071
Rocco Reitz,Borussia M.Gladbach,GER-Bundesliga,2526,M,31,2669,47,0,2.651,0,2.651,4,3.993,13.191,8.106,0.0855,0.0,0.0894,0.0
Rodrigo Riquelme,Real Betis,ESP-La Liga,2526,M S,25,788,24,1,2.65,1,2.65,1,1.466,6.591,2.701,0.106,0.04,0.3026,0.042
Lukas Kübler,Freiburg,GER-Bundesliga,2526,D S,23,1616,19,2,2.649,2,2.649,2,1.392,4.892,3.227,0.1152,0.087,0.1475,0.105
Carlos Álvarez,Levante,ESP-La Liga,2526,M S,30,1910,31,3,2.646,3,2.646,1,4.598,10.989,6.164,0.0882,0.1,0.1247,0.097
Mahdi Camara,Rennes,FRA-Ligue 1,2526,D M S,32,2670,29,3,2.641,3,2.641,1,2.188,12.446,8.627,0.0825,0.0938,0.089,0.103
Luis Rioja,Valencia,ESP-La Liga,2526,D F M S,37,2676,44,3,2.632,3,2.632,6,4.35,11.246,5.815,0.0711,0.0811,0.0885,0.068
Adrián Bernabé,Parma Calcio 1913,ITA-Serie A,2526,D M S,32,2542,50,3,2.623,3,2.623,1,4.641,8.534,4.341,0.082,0.0938,0.0929,0.06
Chimuanya Ugochukwu,Burnley,ENG-Premier League,2526,M S,35,2407,22,3,2.622,3,2.622,1,0.449,7.267,4.909,0.0749,0.0857,0.0981,0.136
Kacper Potulski,Mainz 05,GER-Bundesliga,2526,D S,15,1061,14,1,2.62,1,2.62,0,0.617,1.225,0.904,0.1746,0.0667,0.2222,0.071
Cher Ndour,Fiorentina,ITA-Serie A,2526,M S,33,1875,24,3,2.613,3,2.613,0,0.348,6.287,4.334,0.0792,0.0909,0.1254,0.125
Florian Lejeune,Rayo Vallecano,ESP-La Liga,2526,D,36,3233,50,2,2.612,2,2.612,1,1.172,10.797,9.679,0.0726,0.0556,0.0727,0.04
Rafik Belghali,Verona,ITA-Serie A,2526,D M S,26,1935,21,2,2.601,2,2.601,0,2.21,6.701,2.843,0.1,0.0769,0.121,0.095
Leonardo Balerdi,Marseille,FRA-Ligue 1,2526,D S,26,1996,20,0,2.597,0,2.597,1,0.239,13.102,12.96,0.0999,0.0,0.1171,0.0
Rubén García,Osasuna,ESP-La Liga,2526,F M S,35,2297,31,2,2.597,2,2.597,5,5.864,7.12,3.818,0.0742,0.0571,0.1017,0.065
Ilias Akhomach,Rayo Vallecano,ESP-La Liga,2526,F M S,20,876,24,0,2.597,0,2.597,1,1.56,5.817,2.778,0.1298,0.0,0.2668,0.0
Brennan Johnson,Crystal Palace,ENG-Premier League,2526,D F M S,34,1709,23,2,2.593,2,2.593,1,1.281,5.24,1.934,0.0763,0.0588,0.1366,0.087
Jan Virgili,Mallorca,ESP-La Liga,2526,F M S,31,1807,32,2,2.593,2,2.593,4,3.77,7.064,2.664,0.0837,0.0645,0.1292,0.062
Axel Witsel,Girona,ESP-La Liga,2526,M S,32,2546,20,1,2.592,1,2.592,2,2.218,10.091,9.348,0.081,0.0312,0.0916,0.05
Robin Fellhauer,Augsburg,GER-Bundesliga,2526,D M S,34,2829,29,3,2.592,3,2.592,2,2.142,8.662,4.586,0.0762,0.0882,0.0825,0.103
Fodé Doucouré,Le Havre,FRA-Ligue 1,2526,F M S,26,1271,20,3,2.585,3,2.585,1,2.51,7.345,2.813,0.0994,0.1154,0.183,0.15
Edu Expósito,Espanyol,ESP-La Liga,2526,F M S,36,2593,44,1,2.578,1,2.578,6,8.029,10.837,6.841,0.0716,0.0278,0.0895,0.023
Ngal'ayel Mukau,Lille,FRA-Ligue 1,2526,M S,30,1548,20,1,2.576,1,2.576,0,0.511,6.841,5.001,0.0859,0.0333,0.1498,0.05
Anthony Rouault,Rennes,FRA-Ligue 1,2526,D S,21,1723,9,1,2.573,1,2.573,0,0.168,6.358,5.804,0.1225,0.0476,0.1344,0.111
Benjamin André,Lille,FRA-Ligue 1,2526,M S,27,2328,27,2,2.573,2,2.573,2,1.933,11.715,9.414,0.0953,0.0741,0.0995,0.074
Tanner Tessmann,Lyon,FRA-Ligue 1,2526,D M S,29,1938,26,1,2.568,1,2.568,0,1.402,12.366,10.186,0.0886,0.0345,0.1193,0.038
James Justin,Leeds,ENG-Premier League,2526,D M S,29,1895,24,2,2.563,2,2.563,1,2.573,5.142,2.756,0.0884,0.069,0.1217,0.083
Andrey Santos,Chelsea,ENG-Premier League,2526,M S,27,1217,11,1,2.555,1,2.555,0,0.688,6.325,4.395,0.0946,0.037,0.189,0.091
Franck Zambo,Napoli,ITA-Serie A,2526,M S,18,1253,23,4,2.554,4,2.554,1,1.551,4.91,2.98,0.1419,0.2222,0.1835,0.174
Ainsley Maitland-Niles,Lyon,FRA-Ligue 1,2526,D M S,30,2496,14,1,2.554,1,1.794,4,3.501,11.776,7.495,0.0851,0.0333,0.0647,0.071
Denis Zakaria,Monaco,FRA-Ligue 1,2526,D M S,24,2039,18,2,2.552,2,2.552,1,1.427,7.712,6.586,0.1063,0.0833,0.1126,0.111
Rémy Cabella,Nantes,FRA-Ligue 1,2526,F M S,11,561,9,2,2.532,1,1.772,0,1.133,4.131,1.768,0.2302,0.1818,0.2843,0.222
Ndary Adopo,Cagliari,ITA-Serie A,2526,D M S,38,3074,28,1,2.529,1,2.529,2,2.44,8.808,5.82,0.0666,0.0263,0.074,0.036
Armando Broja,Burnley,ENG-Premier League,2526,F S,24,822,16,1,2.517,1,2.517,1,0.61,2.686,1.026,0.1049,0.0417,0.2755,0.062
Morales,Levante,ESP-La Liga,2526,M S,20,298,11,1,2.511,0,1.768,1,1.105,5.004,2.227,0.1256,0.05,0.5339,0.091
Fran Pérez,Rayo Vallecano,ESP-La Liga,2526,F M S,29,1226,17,2,2.509,2,2.509,1,1.674,6.373,2.653,0.0865,0.069,0.1842,0.118
Marc Guiu,Chelsea,ENG-Premier League,2526,F S,10,250,13,0,2.507,0,2.507,1,0.759,3.278,0.123,0.2507,0.0,0.9026,0.0
Kamaldeen Sulemana,Atalanta,ITA-Serie A,2526,M S,25,993,25,2,2.488,2,2.488,1,2.28,7.908,3.888,0.0995,0.08,0.2255,0.08
Máximo Perrone,Como,ITA-Serie A,2526,M S,36,2758,18,3,2.486,3,2.486,4,2.536,16.493,12.241,0.0691,0.0833,0.0811,0.167
Wesley,Roma,ITA-Serie A,2526,D M S,30,2474,25,5,2.484,5,2.484,0,5.352,14.141,7.724,0.0828,0.1667,0.0904,0.2
Aleix García,Bayer Leverkusen,GER-Bundesliga,2526,M S,33,2708,30,3,2.479,3,2.479,7,6.066,21.397,18.525,0.0751,0.0909,0.0824,0.1
Wilson Odobert,Tottenham,ENG-Premier League,2526,F M S,24,946,21,0,2.46,0,2.46,2,1.952,5.968,2.883,0.1025,0.0,0.2341,0.0
Micky van de Ven,Tottenham,ENG-Premier League,2526,D,35,3049,16,4,2.453,4,2.453,1,1.014,5.582,5.244,0.0701,0.1143,0.0724,0.25
Terem Igobor Moffi,Nice,FRA-Ligue 1,2526,F S,10,484,16,2,2.451,2,2.451,0,0.664,3.355,0.539,0.2451,0.2,0.4558,0.125
Carney Chukwuemeka,Borussia Dortmund,GER-Bundesliga,2526,F M S,28,869,18,2,2.447,2,2.447,0,0.635,5.286,2.743,0.0874,0.0714,0.2534,0.111
Lucas Paquetá,West Ham,ENG-Premier League,2526,F M,18,1544,23,4,2.441,2,0.918,1,3.012,4.266,1.529,0.1356,0.2222,0.0535,0.174
Guillermo Maripán,Torino,ITA-Serie A,2526,D S,27,2151,18,2,2.435,2,2.435,0,0.345,5.111,4.668,0.0902,0.0741,0.1019,0.111
Danny da Costa,Mainz 05,GER-Bundesliga,2526,D M S,34,2689,14,2,2.427,2,2.427,3,2.829,9.898,7.193,0.0714,0.0588,0.0812,0.143
Jon Martín,Real Sociedad,ESP-La Liga,2526,D,25,2250,15,2,2.423,2,2.423,0,0.188,8.534,8.281,0.0969,0.08,0.0969,0.133
Yannick Engelhardt,Borussia M.Gladbach,GER-Bundesliga,2526,M S,31,2506,21,2,2.416,2,2.416,2,1.078,8.807,6.68,0.0779,0.0645,0.0868,0.095
Manuel Locatelli,Juventus,ITA-Serie A,2526,M,36,3031,46,1,2.415,1,1.654,2,3.827,21.802,18.527,0.0671,0.0278,0.0491,0.022
Curtis Jones,Liverpool,ENG-Premier League,2526,D M S,34,1910,22,1,2.406,1,2.406,2,2.834,10.62,7.237,0.0708,0.0294,0.1134,0.045
Ali Abdi,Nice,FRA-Ligue 1,2526,D M S,22,1156,16,3,2.404,3,2.404,0,2.049,2.75,1.636,0.1093,0.1364,0.1871,0.188
Alex Iwobi,Fulham,ENG-Premier League,2526,M,29,2473,39,4,2.403,4,2.403,3,3.63,10.425,6.602,0.0829,0.1379,0.0875,0.103
David Raum,RasenBallsport Leipzig,GER-Bundesliga,2526,D S,30,2570,24,3,2.402,2,1.644,7,11.039,20.633,16.385,0.0801,0.1,0.0576,0.125
Gaetano Oristanio,Parma Calcio 1913,ITA-Serie A,2526,F M S,20,853,23,1,2.399,1,2.399,0,0.601,3.532,0.734,0.12,0.05,0.2532,0.043
Evan Ndicka,Roma,ITA-Serie A,2526,D,31,2686,23,3,2.395,3,2.395,0,0.563,7.167,6.816,0.0773,0.0968,0.0802,0.13
Gianluca Mancini,Roma,ITA-Serie A,2526,D,36,3087,20,4,2.395,4,2.395,2,2.72,12.405,11.155,0.0665,0.1111,0.0698,0.2
Robin Gosens,Fiorentina,ITA-Serie A,2526,D M S,26,1908,18,3,2.395,3,2.395,1,0.961,4.042,2.377,0.0921,0.1154,0.113,0.167
Samson Baidoo,Lens,FRA-Ligue 1,2526,D S,23,1823,16,2,2.394,2,2.394,1,0.456,6.111,5.609,0.1041,0.087,0.1182,0.125
Paul Mendy,Cagliari,ITA-Serie A,2526,F S,9,326,15,2,2.389,2,2.389,0,0.257,2.722,0.824,0.2654,0.2222,0.6595,0.133
Pedri,Barcelona,ESP-La Liga,2526,M S,29,2117,21,2,2.386,2,2.386,9,5.948,25.24,19.385,0.0823,0.069,0.1014,0.095
Jones El Abdellaoui,Celta Vigo,ESP-La Liga,2526,D F M S,22,621,17,2,2.383,2,2.383,0,0.513,4.237,1.919,0.1083,0.0909,0.3454,0.118
Honest Ahanor,Atalanta,ITA-Serie A,2526,D S,22,1368,13,0,2.382,0,2.382,0,0.124,3.29,2.915,0.1083,0.0,0.1567,0.0
Francesco Camarda,Lecce,ITA-Serie A,2526,F S,21,671,16,1,2.378,1,1.617,0,0.586,1.663,0.639,0.1132,0.0476,0.2168,0.062
Johan Bakayoko,RasenBallsport Leipzig,GER-Bundesliga,2526,F M S,20,764,24,2,2.376,2,2.376,0,1.306,6.649,3.972,0.1188,0.1,0.2799,0.083
Derrick Köhn,Union Berlin,GER-Bundesliga,2526,D S,29,1887,28,1,2.375,0,1.617,2,3.089,4.536,2.745,0.0819,0.0345,0.0771,0.036
Andrei Ratiu,Rayo Vallecano,ESP-La Liga,2526,D M S,35,2791,31,0,2.374,0,2.374,4,6.195,16.089,11.391,0.0678,0.0,0.0765,0.0
Antonio Caracciolo,Pisa,ITA-Serie A,2526,D S,35,3077,25,2,2.365,2,2.365,0,0.162,4.623,3.865,0.0676,0.0571,0.0692,0.08
Joshua Kimmich,Bayern Munich,GER-Bundesliga,2526,M S,29,2268,28,2,2.365,2,2.365,8,7.569,27.785,21.906,0.0815,0.069,0.0938,0.071
Emre Can,Borussia Dortmund,GER-Bundesliga,2526,D S,9,627,5,3,2.364,0,0.091,0,0.0,2.454,2.376,0.2627,0.3333,0.013,0.6
Mohammed Kudus,Tottenham,ENG-Premier League,2526,F M,19,1577,26,2,2.362,2,2.362,5,2.574,4.963,1.407,0.1243,0.1053,0.1348,0.077
Alieu Fadera,Sassuolo,ITA-Serie A,2526,F S,28,959,13,2,2.362,2,2.362,1,0.879,4.041,1.765,0.0844,0.0714,0.2217,0.154
Emirhan Ilkhan,Torino,ITA-Serie A,2526,M S,19,1028,13,1,2.362,1,2.362,2,1.224,3.559,2.169,0.1243,0.0526,0.2068,0.077
Marco Brescianini,Atalanta,ITA-Serie A,2526,M S,26,1018,13,2,2.351,2,2.351,1,1.242,4.857,2.457,0.0904,0.0769,0.2078,0.154
Nesta Elphege,Parma Calcio 1913,ITA-Serie A,2526,F S,9,297,6,2,2.35,2,2.35,1,0.357,2.437,0.19,0.2611,0.2222,0.7121,0.333
Bryan Cristante,Roma,ITA-Serie A,2526,M S,37,3116,43,2,2.348,2,2.348,1,2.282,12.897,10.956,0.0635,0.0541,0.0678,0.047
Sasa Lukic,Fulham,ENG-Premier League,2526,M S,26,1731,18,1,2.339,1,2.339,2,2.163,6.226,3.358,0.09,0.0385,0.1216,0.056
Jon Moncayola,Osasuna,ESP-La Liga,2526,D M S,36,3061,23,0,2.334,0,2.334,4,4.858,10.213,5.149,0.0648,0.0,0.0686,0.0
Filippo Terracciano,Cremonese,ITA-Serie A,2526,D S,36,3023,14,2,2.333,2,2.333,0,0.641,4.204,3.737,0.0648,0.0556,0.0695,0.143
Samuel Chukwueze,Fulham,ENG-Premier League,2526,M S,23,1052,25,3,2.333,3,2.333,4,2.836,7.105,2.852,0.1014,0.1304,0.1996,0.12
Ciro Immobile,Paris FC,FRA-Ligue 1,2526,F S,12,736,15,2,2.333,2,2.333,2,1.904,4.892,2.162,0.1944,0.1667,0.2853,0.133
Silas Wamangituka,Mainz 05,GER-Bundesliga,2526,F S,8,346,8,1,2.333,1,2.333,0,0.192,2.632,0.121,0.2916,0.125,0.6068,0.125
Filip Stojilkovic,Pisa,ITA-Serie A,2526,F M S,13,660,10,0,2.331,0,2.331,0,0.715,3.514,0.613,0.1793,0.0,0.3178,0.0
Dean Huijsen,Real Madrid,ESP-La Liga,2526,D S,28,2046,20,2,2.327,2,2.327,2,1.145,10.48,10.073,0.0831,0.0714,0.1024,0.1
Enes Ünal,Bournemouth,ENG-Premier League,2526,S,22,158,15,1,2.326,1,2.326,0,0.284,2.646,0.39,0.1057,0.0455,1.3251,0.067
Chemsdine Talbi,Sunderland,ENG-Premier League,2526,F M S,28,1556,25,4,2.324,4,2.324,1,0.6,3.228,1.189,0.083,0.1429,0.1344,0.16
Jovan Milosevic,Werder Bremen,GER-Bundesliga,2526,F S,13,476,12,3,2.32,3,2.32,1,0.244,2.827,0.422,0.1784,0.2308,0.4386,0.25
Noah Cadiou,Lorient,FRA-Ligue 1,2526,M S,28,1851,19,3,2.32,3,2.32,1,0.693,6.739,4.919,0.0829,0.1071,0.1128,0.158
Andrea Belotti,Cagliari,ITA-Serie A,2526,F S,8,212,6,2,2.311,1,1.549,0,0.041,1.016,0.261,0.2888,0.25,0.6577,0.333
Yassin Belkhdim,Angers,FRA-Ligue 1,2526,M S,27,2175,33,2,2.304,2,2.304,2,1.529,7.509,4.553,0.0853,0.0741,0.0953,0.061
Ronald Araújo,Barcelona,ESP-La Liga,2526,D S,24,1049,12,3,2.303,3,2.303,0,0.6,6.536,5.451,0.0959,0.125,0.1976,0.25
Manuel Akanji,Inter,ITA-Serie A,2526,D S,33,2814,23,2,2.299,2,2.299,0,0.326,16.783,16.273,0.0697,0.0606,0.0735,0.087
Marcos Alonso,Celta Vigo,ESP-La Liga,2526,D S,32,2780,24,1,2.298,0,1.555,0,1.569,14.407,13.423,0.0718,0.0312,0.0503,0.042
Davide Frattesi,Inter,ITA-Serie A,2526,M S,22,523,16,0,2.294,0,2.294,0,0.599,3.893,1.131,0.1043,0.0,0.3948,0.0
Justin Kluivert,Bournemouth,ENG-Premier League,2526,M S,20,934,17,2,2.293,2,2.293,0,2.295,5.312,2.318,0.1147,0.1,0.221,0.118
Hichem Boudaoui,Nice,FRA-Ligue 1,2526,M S,25,1697,21,1,2.291,1,2.291,2,1.597,6.359,3.214,0.0916,0.04,0.1215,0.048
Rodrigo Gomes,Wolverhampton Wanderers,ENG-Premier League,2526,D F M S,22,951,21,3,2.284,3,2.284,0,0.151,3.377,1.008,0.1038,0.1364,0.2162,0.143
Marcus Edwards,Burnley,ENG-Premier League,2526,F M S,23,1054,23,1,2.284,1,2.284,3,2.546,6.093,3.158,0.0993,0.0435,0.195,0.043
Niccolò Pisilli,Roma,ITA-Serie A,2526,M S,25,1263,19,2,2.273,2,2.273,4,2.218,6.556,4.026,0.0909,0.08,0.162,0.105
Hugo Álvarez,Celta Vigo,ESP-La Liga,2526,D F M S,28,1359,14,4,2.273,4,2.273,2,2.451,8.505,5.042,0.0812,0.1429,0.1505,0.286
Rani Khedira,Union Berlin,GER-Bundesliga,2526,M,32,2854,23,5,2.271,5,2.271,1,2.316,6.597,3.22,0.071,0.1562,0.0716,0.217
Idrissa Gueye,Udinese,ITA-Serie A,2526,F S,19,368,20,1,2.264,1,2.264,0,0.157,3.507,1.676,0.1192,0.0526,0.5537,0.05
Sergi Darder,Mallorca,ESP-La Liga,2526,M S,38,2715,36,1,2.258,1,2.258,5,5.543,10.621,7.191,0.0594,0.0263,0.0749,0.028
Charalampos Kostoulas,Brighton,ENG-Premier League,2526,F S,21,309,21,2,2.257,2,2.257,1,1.28,3.496,0.506,0.1075,0.0952,0.6574,0.095
Enrico Del Prato,Parma Calcio 1913,ITA-Serie A,2526,D S,35,2958,18,2,2.256,2,2.256,0,0.783,4.674,3.122,0.0645,0.0571,0.0687,0.111
Pedro,Lazio,ITA-Serie A,2526,F M S,29,954,22,5,2.254,3,0.731,2,2.806,3.694,1.636,0.0777,0.1724,0.069,0.227
Carles Aleñá,Alaves,ESP-La Liga,2526,F M S,34,2002,29,0,2.246,0,2.246,4,4.068,7.837,3.891,0.066,0.0,0.101,0.0
Justin Devenny,Crystal Palace,ENG-Premier League,2526,D F M S,21,762,13,1,2.245,0,1.484,0,0.332,3.624,2.077,0.1069,0.0476,0.1753,0.077
Federico Valverde,Real Madrid,ESP-La Liga,2526,D F M S,33,2765,51,5,2.244,5,2.244,8,5.012,19.057,15.301,0.068,0.1515,0.073,0.098
Jeremie Boga,Nice,FRA-Ligue 1,2526,F M S,14,645,15,2,2.242,2,2.242,2,1.649,4.733,1.307,0.1602,0.1429,0.3129,0.133
Abner,Lyon,FRA-Ligue 1,2526,D F M S,26,2182,17,3,2.242,3,2.242,2,3.12,13.473,9.003,0.0862,0.1154,0.0925,0.176
Takuma Asano,Mallorca,ESP-La Liga,2526,F M S,20,662,17,1,2.239,1,2.239,0,1.018,3.713,1.435,0.112,0.05,0.3044,0.059
Lucas Torró,Osasuna,ESP-La Liga,2526,M S,34,2362,29,0,2.239,0,2.239,1,1.262,5.123,3.755,0.0659,0.0,0.0853,0.0
Alessandro Deiola,Cagliari,ITA-Serie A,2526,D M S,20,1444,22,0,2.229,0,2.229,2,0.595,4.546,2.97,0.1114,0.0,0.1389,0.0
Diego Moreira,Strasbourg,FRA-Ligue 1,2526,D M S,27,2063,29,4,2.223,4,2.223,7,6.94,14.191,8.783,0.0823,0.1481,0.097,0.138
Cameron Puertas,Werder Bremen,GER-Bundesliga,2526,F M S,28,1867,37,1,2.22,1,2.22,2,2.423,7.052,4.756,0.0793,0.0357,0.107,0.027
Marcos Llorente,Atletico Madrid,ESP-La Liga,2526,D M S,29,2190,18,0,2.212,0,2.212,4,4.202,17.014,12.518,0.0763,0.0,0.0909,0.0
Jefferson Lerma,Crystal Palace,ENG-Premier League,2526,D M S,31,1693,19,0,2.209,0,2.209,2,1.784,7.616,6.043,0.0712,0.0,0.1174,0.0
Jules Koundé,Barcelona,ESP-La Liga,2526,D S,30,2247,14,1,2.2,1,2.2,3,4.645,21.097,18.555,0.0733,0.0333,0.0881,0.071
Ao Tanaka,Leeds,ENG-Premier League,2526,M S,28,1330,17,2,2.198,2,2.198,0,1.358,6.806,4.313,0.0785,0.0714,0.1487,0.118
Diogo Dalot,Manchester United,ENG-Premier League,2526,D S,34,2614,24,1,2.195,1,2.195,3,3.506,13.055,9.667,0.0645,0.0294,0.0756,0.042
Antoine Mendy,Nice,FRA-Ligue 1,2526,D S,25,2105,17,1,2.194,1,2.194,0,0.037,6.5,5.918,0.0878,0.04,0.0938,0.059
Mario Hermoso,Roma,ITA-Serie A,2526,D S,27,2106,20,3,2.193,3,2.193,2,0.859,7.192,5.719,0.0812,0.1111,0.0937,0.15
Jonas Hofmann,Bayer Leverkusen,GER-Bundesliga,2526,D M S,23,997,23,2,2.189,2,2.189,2,2.755,9.791,5.793,0.0952,0.087,0.1976,0.087
Nobel Mendy,Rayo Vallecano,ESP-La Liga,2526,D S,24,1834,11,2,2.185,2,2.185,0,0.36,3.957,3.547,0.091,0.0833,0.1072,0.182
Aleix Febas,Elche,ESP-La Liga,2526,M,36,3178,23,2,2.184,2,2.184,2,2.102,16.844,14.497,0.0607,0.0556,0.0618,0.087
Petar Sucic,Inter,ITA-Serie A,2526,M S,34,1763,22,2,2.182,2,2.182,2,4.041,15.208,10.928,0.0642,0.0588,0.1114,0.091
Jean-Luc Dompe,Hamburger SV,GER-Bundesliga,2526,F M S,20,1132,25,3,2.18,2,1.422,0,4.045,5.374,1.395,0.109,0.15,0.1131,0.12
Joelinton,Newcastle United,ENG-Premier League,2526,M S,27,1958,32,2,2.179,2,2.179,1,1.861,10.019,7.25,0.0807,0.0741,0.1001,0.062
Omari Hutchinson,Nottingham Forest,ENG-Premier League,2526,M S,31,1664,25,1,2.178,1,2.178,5,4.932,10.329,5.619,0.0702,0.0323,0.1178,0.04
Jean Négoce,Eintracht Frankfurt,GER-Bundesliga,2526,F M S,27,1322,29,3,2.176,3,2.176,4,4.017,8.621,3.926,0.0806,0.1111,0.1482,0.103
Livan Burcu,Union Berlin,GER-Bundesliga,2526,F M S,18,621,16,1,2.161,1,2.161,1,0.509,2.687,0.993,0.1201,0.0556,0.3132,0.062
Xaver Schlager,RasenBallsport Leipzig,GER-Bundesliga,2526,M S,26,1844,21,3,2.158,3,2.158,1,2.198,20.343,17.009,0.083,0.1154,0.1053,0.143
Pierre Ganiou,Lens,FRA-Ligue 1,2526,D S,23,2018,23,3,2.156,3,2.156,0,0.502,10.865,10.461,0.0937,0.1304,0.0962,0.13
Martín Satriano,Lyon,FRA-Ligue 1,2526,F S,11,696,16,2,2.151,2,2.151,1,1.252,3.523,1.102,0.1956,0.1818,0.2782,0.125
Mikael Ellertsson,Genoa,ITA-Serie A,2526,D M S,36,2770,26,1,2.15,1,2.15,1,2.501,6.251,3.156,0.0597,0.0278,0.0699,0.038
Jofre Carreras,Espanyol,ESP-La Liga,2526,M S,26,890,23,1,2.147,1,2.147,0,1.431,4.282,1.192,0.0826,0.0385,0.2171,0.043
Iker Losada,Levante,ESP-La Liga,2526,M S,23,882,14,3,2.14,3,2.14,1,0.53,2.366,0.405,0.0931,0.1304,0.2184,0.214
Jon Ander Olasagasti,Levante,ESP-La Liga,2526,F M S,33,1712,28,1,2.132,1,2.132,5,4.48,7.844,4.71,0.0646,0.0303,0.1121,0.036
Vincent Marchetti,Paris FC,FRA-Ligue 1,2526,M S,23,798,24,2,2.13,2,2.13,1,0.592,5.424,2.775,0.0926,0.087,0.2403,0.083
Arnau Martinez,Girona,ESP-La Liga,2526,D M S,35,2715,19,2,2.124,2,2.124,3,2.705,10.918,8.976,0.0607,0.0571,0.0704,0.105
Kévin Danois,Auxerre,FRA-Ligue 1,2526,M S,33,2852,25,3,2.124,3,2.124,1,4.617,9.194,5.501,0.0644,0.0909,0.067,0.12
