player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Martial Godo,Strasbourg,FRA-Ligue 1,2526,M S,28,1602,41,10,8.613,10,8.613,1,2.259,15.288,5.071,0.3076,0.3571,0.4839,0.244
Nicolas Jackson,Bayern Munich,GER-Bundesliga,2526,F M S,23,991,38,8,8.492,8,8.492,1,2.09,13.035,3.194,0.3692,0.3478,0.7712,0.211
Francisco Conceição,Juventus,ITA-Serie A,2526,D F M S,31,2124,73,3,8.488,3,8.488,5,4.163,18.74,9.53,0.2738,0.0968,0.3597,0.041
Matthis Abline,Nantes,FRA-Ligue 1,2526,F M S,32,2501,85,6,8.402,6,7.642,4,4.086,12.229,3.801,0.2626,0.1875,0.275,0.071
Romain Del Castillo,Brest,FRA-Ligue 1,2526,F M,32,2686,34,9,8.386,3,2.305,3,6.57,12.779,6.17,0.2621,0.2812,0.0772,0.265
Santiago Castro,Bologna,ITA-Serie A,2526,F S,35,2381,63,7,8.299,7,8.299,2,2.733,10.868,1.571,0.2371,0.2,0.3137,0.111
Antoine Griezmann,Atletico Madrid,ESP-La Liga,2526,F S,34,1428,47,7,8.294,7,8.294,4,4.989,17.253,7.144,0.2439,0.2059,0.5227,0.149
Dzenan Pejcinovic,Wolfsburg,GER-Bundesliga,2526,F S,30,1445,51,8,8.291,8,8.291,0,1.645,9.862,1.751,0.2764,0.2667,0.5164,0.157
Jarrod Bowen,West Ham,ENG-Premier League,2526,F M,38,3416,79,9,8.274,8,7.512,11,8.432,14.381,3.878,0.2177,0.2368,0.1979,0.114
Rafa Mir,Elche,ESP-La Liga,2526,F M S,27,1834,69,8,8.265,7,6.778,0,1.71,11.56,4.55,0.3061,0.2963,0.3326,0.116
Nick Woltemade,Newcastle United,ENG-Premier League,2526,F M S,33,1953,32,8,8.262,7,7.501,3,2.901,8.792,2.301,0.2504,0.2424,0.3457,0.25
Maximilian Beier,Borussia Dortmund,GER-Bundesliga,2526,D F M S,32,2069,50,9,8.249,9,8.249,6,4.956,16.043,5.099,0.2578,0.2812,0.3588,0.18
Pavel Sulc,Lyon,FRA-Ligue 1,2526,F M S,27,1562,44,10,8.201,10,8.201,3,3.449,14.77,5.433,0.3037,0.3704,0.4725,0.227
Hákon Haraldsson,Lille,FRA-Ligue 1,2526,F M S,32,2517,50,8,8.197,8,8.197,2,4.531,18.887,9.13,0.2561,0.25,0.2931,0.16
Désiré Doué,Paris Saint Germain,FRA-Ligue 1,2526,F M S,23,1372,55,7,8.188,7,7.428,4,3.853,15.078,6.511,0.356,0.3043,0.4873,0.127
Sofiane Diop,Nice,FRA-Ligue 1,2526,F M S,33,2191,54,8,8.184,6,6.664,2,3.58,13.85,5.422,0.248,0.2424,0.2737,0.148
Lukas Nmecha,Leeds,ENG-Premier League,2526,F S,31,1076,30,6,8.14,4,5.857,1,1.685,6.961,1.467,0.2626,0.1935,0.4899,0.2
Ransford Königsdörffer,Hamburger SV,GER-Bundesliga,2526,F M S,33,2425,65,5,8.098,5,7.34,0,1.293,10.46,2.809,0.2454,0.1515,0.2724,0.077
Mauro Arambarri,Getafe,ESP-La Liga,2526,M,37,3279,57,6,8.079,4,5.849,2,0.977,5.961,2.02,0.2183,0.1622,0.1605,0.105
Harvey Barnes,Newcastle United,ENG-Premier League,2526,F M S,37,1947,58,7,8.051,7,8.051,1,3.106,12.754,4.153,0.2176,0.1892,0.3721,0.121
Christian Kofane,Bayer Leverkusen,GER-Bundesliga,2526,F M S,29,1231,46,5,8.046,5,8.046,4,2.243,11.184,1.869,0.2775,0.1724,0.5883,0.109
Yan Diomande,RasenBallsport Leipzig,GER-Bundesliga,2526,F M S,33,2507,53,12,8.03,12,8.03,8,10.049,29.47,14.411,0.2433,0.3636,0.2883,0.226
Khvicha Kvaratskhelia,Paris Saint Germain,FRA-Ligue 1,2526,F S,28,1477,65,8,7.978,7,7.218,4,5.743,17.089,8.842,0.2849,0.2857,0.4398,0.123
Jakub Kaminski,FC Cologne,GER-Bundesliga,2526,D F M,34,3031,62,7,7.966,7,7.966,3,5.589,18.437,9.428,0.2343,0.2059,0.2365,0.113
Romano Schmid,Werder Bremen,GER-Bundesliga,2526,F M,34,3004,57,4,7.936,1,4.905,8,10.277,17.9,6.946,0.2334,0.1176,0.1469,0.07
Pablo Pagis,Lorient,FRA-Ligue 1,2526,F M S,28,1799,59,10,7.787,8,6.266,5,4.751,10.172,2.896,0.2781,0.3571,0.3135,0.169
Jude Bellingham,Real Madrid,ESP-La Liga,2526,M S,28,1933,51,6,7.732,6,7.732,4,3.038,13.966,8.357,0.2761,0.2143,0.36,0.118
Julio Enciso,Strasbourg,FRA-Ligue 1,2526,F M S,27,1918,61,3,7.675,2,6.915,6,4.418,15.822,5.986,0.2843,0.1111,0.3245,0.049
Pere Milla,Espanyol,ESP-La Liga,2526,F M S,33,2005,59,7,7.655,7,7.655,1,4.1,11.192,3.339,0.232,0.2121,0.3436,0.119
Callum Wilson,West Ham,ENG-Premier League,2526,F M S,32,1229,38,7,7.603,7,7.603,1,1.027,6.896,0.638,0.2376,0.2188,0.5567,0.184
Florian Wirtz,Liverpool,ENG-Premier League,2526,F M S,33,2426,51,5,7.577,5,7.577,3,5.384,20.642,10.743,0.2296,0.1515,0.2811,0.098
Dusan Vlahovic,Juventus,ITA-Serie A,2526,F S,19,972,49,7,7.538,6,6.776,1,1.247,8.036,1.576,0.3967,0.3684,0.6274,0.143
Fermín López,Barcelona,ESP-La Liga,2526,F M S,30,1780,68,6,7.523,6,7.523,9,7.648,24.605,12.424,0.2508,0.2,0.3804,0.088
Tolu Arokodare,Wolverhampton Wanderers,ENG-Premier League,2526,F S,33,1357,46,3,7.427,3,6.665,1,1.16,5.404,1.102,0.225,0.0909,0.4421,0.065
Emersonn,Toulouse,FRA-Ligue 1,2526,F S,27,1517,51,7,7.415,7,7.415,2,1.879,7.867,1.186,0.2746,0.2593,0.4399,0.137
Nikola Vlasic,Torino,ITA-Serie A,2526,F M S,37,3079,49,8,7.408,3,3.602,3,4.68,14.854,8.531,0.2002,0.2162,0.1053,0.163
Orri Óskarsson,Real Sociedad,ESP-La Liga,2526,F S,20,822,27,9,7.336,9,7.336,0,0.475,7.517,0.419,0.3668,0.45,0.8032,0.333
Danny Namaso,Auxerre,FRA-Ligue 1,2526,F M S,30,2544,61,3,7.317,3,7.317,3,3.95,11.782,4.277,0.2439,0.1,0.2589,0.049
M'Bala Nzola,Pisa,ITA-Serie A,2526,F S,30,1514,39,4,7.317,2,5.033,1,1.239,7.441,1.697,0.2439,0.1333,0.2992,0.103
Viktor Tsygankov,Girona,ESP-La Liga,2526,F M S,32,2672,50,6,7.314,6,7.314,5,4.261,15.099,5.472,0.2285,0.1875,0.2463,0.12
Federico Dimarco,Inter,ITA-Serie A,2526,D S,35,2709,65,7,7.286,7,7.286,16,15.929,29.177,13.817,0.2082,0.2,0.2421,0.108
Gauthier Hein,Metz,FRA-Ligue 1,2526,F M S,29,2355,44,8,7.256,3,3.456,7,4.458,9.394,4.185,0.2502,0.2759,0.1321,0.182
Amine Gouiri,Marseille,FRA-Ligue 1,2526,F M S,22,1318,38,8,7.237,8,7.237,3,3.989,11.248,2.822,0.329,0.3636,0.4942,0.211
Ilyas Chaira,Real Oviedo,ESP-La Liga,2526,F M S,37,2584,84,7,7.221,7,7.221,2,2.078,11.205,3.461,0.1952,0.1892,0.2515,0.083
