player,team,competitions,matches,shots,xg,goals,xg_per_match,goals_per_match,shot_accuracy
Vincent Paté Aboubakar,Cameroon,FIFA World Cup 2022,2,6,0.529,2,0.2645,1.0,0.333
Luis Gerardo Chávez Magallón,Mexico,FIFA World Cup 2022; Copa America 2024,5,17,0.5245,1,0.1049,0.2,0.059
Jean-Eric Maxim Choupo-Moting,Cameroon,FIFA World Cup 2022,2,3,0.5235,1,0.2618,0.5,0.333
Yeltsin Ignacio Tejeda Valverde,Costa Rica,FIFA World Cup 2022,1,2,0.5221,1,0.5221,1.0,0.5
Daley Blind,Netherlands,FIFA World Cup 2022,3,5,0.5217,1,0.1739,0.3333,0.2
Andriy Yarmolenko,Ukraine,UEFA Euro 2024,3,4,0.5193,0,0.1731,0.0,0.0
Krzysztof Piątek,Poland,FIFA World Cup 2022; UEFA Euro 2024,2,3,0.5182,1,0.2591,0.5,0.333
Aboubakary Koita,Mauritania,AFCON 2023,4,12,0.5169,1,0.1292,0.25,0.083
Gilson Benchimol Tavares,Cape Verde Islands,AFCON 2023,2,6,0.5151,1,0.2575,0.5,0.167
Abdoulaye Seck,Senegal,AFCON 2023,2,5,0.5128,1,0.2564,0.5,0.2
Kasper Dolberg,Denmark,FIFA World Cup 2022,2,4,0.512,0,0.256,0.0,0.0
Thomas Müller,Germany,FIFA World Cup 2022; UEFA Euro 2024,2,4,0.5074,0,0.2537,0.0,0.0
Jakub Moder,Poland,UEFA Euro 2024,2,4,0.5046,0,0.2523,0.0,0.0
Patson Daka,Zambia,AFCON 2023,3,5,0.504,1,0.168,0.3333,0.2
Shamar Nicholson,Jamaica,Copa America 2024,2,6,0.5038,0,0.2519,0.0,0.0
Lorenzo Pellegrini,Italy,UEFA Euro 2024,4,7,0.5026,0,0.1257,0.0,0.0
Gianluca Lapadula Vargas,Peru,Copa America 2024,3,8,0.5001,0,0.1667,0.0,0.0
Aguibou Camara,Guinea,AFCON 2023,3,5,0.4931,1,0.1644,0.3333,0.2
Harry Maguire,England,FIFA World Cup 2022,4,6,0.49,0,0.1225,0.0,0.0
Adam Hložek,Czechia,UEFA Euro 2024,2,4,0.4897,0,0.2448,0.0,0.0
Almoez Ali Zainalabiddin Abdulla,Qatar,FIFA World Cup 2022,2,3,0.4838,0,0.2419,0.0,0.0
Michail Antonio,Jamaica,Copa America 2024,3,3,0.4814,1,0.1605,0.3333,0.333
Théo Bongonda Mbul'Ofeko Batombo,Congo DR,AFCON 2023,4,9,0.4727,0,0.1182,0.0,0.0
Mert Müldür,Türkiye,UEFA Euro 2024,1,3,0.4675,1,0.4675,1.0,0.333
Frederico Rodrigues Santos,Brazil,FIFA World Cup 2022,2,3,0.4672,0,0.2336,0.0,0.0
Aïssa Mandi,Algeria,AFCON 2023,1,3,0.4665,0,0.4665,0.0,0.0
Leroy Sané,Germany,FIFA World Cup 2022; UEFA Euro 2024,4,10,0.4656,0,0.1164,0.0,0.0
Georges-Kévin Nkoudou Mbida,Cameroon,FIFA World Cup 2022; AFCON 2023,4,7,0.4625,0,0.1156,0.0,0.0
Leon Goretzka,Germany,FIFA World Cup 2022,3,4,0.4607,0,0.1536,0.0,0.0
Amadou Onana,Belgium,FIFA World Cup 2022; UEFA Euro 2024,3,5,0.4594,0,0.1531,0.0,0.0
Moses Daddy-Ajala Simon,Nigeria,AFCON 2023,4,5,0.4594,0,0.1149,0.0,0.0
Absalom Iimbondi,Namibia,AFCON 2023,1,1,0.4592,0,0.4592,0.0,0.0
Ricardo Jorge Luz Horta,Portugal,FIFA World Cup 2022,1,3,0.4588,1,0.4588,1.0,0.333
Heung-Min Son,Korea Republic,FIFA World Cup 2022,4,9,0.4538,0,0.1135,0.0,0.0
Alessandro Bastoni,Italy,UEFA Euro 2024,2,3,0.4502,1,0.2251,0.5,0.333
Granit Xhaka,Switzerland,FIFA World Cup 2022; UEFA Euro 2024,7,10,0.4479,0,0.064,0.0,0.0
Kevin Csoboth,Hungary,UEFA Euro 2024,1,2,0.4477,1,0.4477,1.0,0.5
Ahmed Sayed,Egypt,AFCON 2023,3,10,0.4466,0,0.1489,0.0,0.0
Kahiser Lenis Navarro,Panama,Copa America 2024,1,3,0.4418,0,0.4418,0.0,0.0
Juraj Kucka,Slovakia,UEFA Euro 2024,3,8,0.4388,0,0.1463,0.0,0.0
Alex Adrián Arce Barrios,Paraguay,Copa America 2024,2,5,0.4381,0,0.2191,0.0,0.0
Ondřej Lingr,Czechia,UEFA Euro 2024,2,5,0.4378,0,0.2189,0.0,0.0
Mahmoud Ibrahim Hassan,Egypt,AFCON 2023,3,6,0.4361,1,0.1454,0.3333,0.167
Prins Menelik Tjiueza,Namibia,AFCON 2023,2,2,0.4354,0,0.2177,0.0,0.0
Davy Klaassen,Netherlands,FIFA World Cup 2022,2,2,0.4318,1,0.2159,0.5,0.5
Rafael Alexandre Conceição Leão,Portugal,FIFA World Cup 2022; UEFA Euro 2024,7,8,0.4305,2,0.0615,0.2857,0.25
Georgiy Sudakov,Ukraine,UEFA Euro 2024,3,9,0.4295,0,0.1432,0.0,0.0
Mohamed Salisu,Ghana,FIFA World Cup 2022,2,2,0.4284,1,0.2142,0.5,0.5
Obite Evan Ndicka,Côte d'Ivoire,AFCON 2023,4,7,0.4278,0,0.107,0.0,0.0
Lukáš Haraslín,Slovakia,UEFA Euro 2024,4,8,0.4274,0,0.1068,0.0,0.0
Marciano Sanca Tchami,Guinea-Bissau,AFCON 2023,2,2,0.4251,0,0.2125,0.0,0.0
Bruno Miranda Villagomez,Bolivia,Copa America 2024,1,1,0.4246,1,0.4246,1.0,1.0
Daichi Kamada,Japan,FIFA World Cup 2022,4,6,0.4213,0,0.1053,0.0,0.0
Facinet Conte,Guinea,AFCON 2023,2,2,0.4204,0,0.2102,0.0,0.0
Achraf Dari,Morocco,FIFA World Cup 2022,1,1,0.4178,1,0.4178,1.0,1.0
Max-Alain Gradel,Côte d'Ivoire,AFCON 2023,3,6,0.4168,0,0.1389,0.0,0.0
Ablie Jallow,Gambia,AFCON 2023,2,5,0.4164,1,0.2082,0.5,0.2
Thapelo James Morena,South Africa,AFCON 2023,3,5,0.4161,0,0.1387,0.0,0.0
Sergej Milinković-Savić,Serbia,FIFA World Cup 2022; UEFA Euro 2024,4,6,0.4153,1,0.1038,0.25,0.167
Jeremy Leonel Sarmiento Morante,Ecuador,FIFA World Cup 2022; Copa America 2024,5,7,0.4152,1,0.083,0.2,0.143
Karim Konaté,Côte d'Ivoire,AFCON 2023,1,3,0.4143,0,0.4143,0.0,0.0
Mathías Adalberto Villasanti Rolón,Paraguay,Copa America 2024,3,3,0.4108,0,0.1369,0.0,0.0
Abdessamad Ezzalzouli,Morocco,FIFA World Cup 2022; AFCON 2023,5,5,0.4089,0,0.0818,0.0,0.0
Simon Adingra,Côte d'Ivoire,AFCON 2023,5,6,0.4053,1,0.0811,0.2,0.167
Joshua Sargent,United States,FIFA World Cup 2022; Copa America 2024,3,5,0.4025,0,0.1342,0.0,0.0
Raphaël Adelino José Guerreiro,Portugal,FIFA World Cup 2022,2,3,0.3995,1,0.1998,0.5,0.333
Alfredo Kulembe Ribeiro,Angola,AFCON 2023,2,4,0.3973,0,0.1986,0.0,0.0
Sidi Bouna Sidi Amar,Mauritania,AFCON 2023,3,7,0.396,1,0.132,0.3333,0.143
Carlos Uriel Antuna Romero,Mexico,FIFA World Cup 2022; Copa America 2024,3,4,0.3957,0,0.1319,0.0,0.0
Declan Rice,England,UEFA Euro 2024,5,9,0.3927,0,0.0785,0.0,0.0
Saman Ghoddos,IR Iran,FIFA World Cup 2022,1,1,0.3913,0,0.3913,0.0,0.0
Julián Andrés Quiñones Quiñones,Mexico,Copa America 2024,3,8,0.391,0,0.1303,0.0,0.0
Kléper Laveran Lima Ferreira,Portugal,FIFA World Cup 2022; UEFA Euro 2024,3,4,0.3857,1,0.1286,0.3333,0.25
Ben Davies,Wales,FIFA World Cup 2022,2,3,0.3842,0,0.1921,0.0,0.0
Jonas Older Wind,Denmark,UEFA Euro 2024,3,5,0.383,0,0.1277,0.0,0.0
Clésio Bauque,Mozambique,AFCON 2023,1,1,0.3828,1,0.3828,1.0,1.0
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,FIFA World Cup 2022,2,3,0.3825,0,0.1912,0.0,0.0
Muzeu Bethuel,Namibia,AFCON 2023,2,3,0.3823,0,0.1911,0.0,0.0
Dejan Lovren,Croatia,FIFA World Cup 2022,2,4,0.3815,0,0.1908,0.0,0.0
Edgar Yoel Bárcenas Herrera,Panama,Copa America 2024,3,6,0.3809,0,0.127,0.0,0.0
Kennedy Amutenya,Namibia,AFCON 2023,4,6,0.3746,0,0.0937,0.0,0.0
Deon Hotto Kavendji,Namibia,AFCON 2023,3,4,0.3725,1,0.1242,0.3333,0.25
Mohammed Al Burayk,Saudi Arabia,FIFA World Cup 2022,1,2,0.3697,0,0.3697,0.0,0.0
Sekou Oumar Sylla,Guinea,AFCON 2023,2,4,0.3673,0,0.1836,0.0,0.0
Dries Mertens,Belgium,FIFA World Cup 2022,2,3,0.3672,0,0.1836,0.0,0.0
Steven Bergwijn,Netherlands,FIFA World Cup 2022; UEFA Euro 2024,3,3,0.3654,0,0.1218,0.0,0.0
Khuliso Johnson Mudau,South Africa,AFCON 2023,2,2,0.3631,0,0.1815,0.0,0.0
Denis Alibec,Romania,UEFA Euro 2024,1,1,0.3628,0,0.3628,0.0,0.0
Alex Iwobi,Nigeria,AFCON 2023,5,7,0.3589,0,0.0718,0.0,0.0
Guillermo Martínez Ayala,Mexico,Copa America 2024,2,3,0.3588,0,0.1794,0.0,0.0
Frank Onyeka,Nigeria,AFCON 2023,4,6,0.3587,0,0.0897,0.0,0.0
Hamza Rafia,Tunisia,AFCON 2023,1,1,0.3587,1,0.3587,1.0,1.0
Ismaeel Mohammad Mohammad,Qatar,FIFA World Cup 2022,2,2,0.3579,0,0.179,0.0,0.0
Žan Karničnik,Slovenia,UEFA Euro 2024,2,3,0.356,1,0.178,0.5,0.333
José Correia,Guinea-Bissau,AFCON 2023,2,4,0.3528,1,0.1764,0.5,0.25
Andreas Skov Olsen,Denmark,FIFA World Cup 2022; UEFA Euro 2024,2,5,0.3515,0,0.1758,0.0,0.0
Barış Alper Yılmaz,Türkiye,UEFA Euro 2024,3,4,0.3494,0,0.1165,0.0,0.0
Daniel Carvajal Ramos,Spain,UEFA Euro 2024,2,2,0.3487,1,0.1743,0.5,0.5
Dango Aboubacar Faissal Ouattara,Burkina Faso,AFCON 2023,1,4,0.3457,0,0.3457,0.0,0.0
Oumar Diakité,Côte d'Ivoire,AFCON 2023,2,3,0.3457,1,0.1729,0.5,0.333
Serhou Guirassy,Guinea,AFCON 2023,2,4,0.3453,0,0.1726,0.0,0.0
Gleison Bremer Silva Nascimento,Brazil,FIFA World Cup 2022,1,1,0.3444,0,0.3444,0.0,0.0
Gaël Kakuta,Congo DR,AFCON 2023,4,8,0.3401,0,0.085,0.0,0.0
Yassine Meriah,Tunisia,FIFA World Cup 2022; AFCON 2023,2,3,0.3398,0,0.1699,0.0,0.0
Stefan Posch,Austria,UEFA Euro 2024,3,7,0.339,0,0.113,0.0,0.0
Robin Hranáč,Czechia,UEFA Euro 2024,1,2,0.3371,0,0.3371,0.0,0.0
Jesper Lindstrøm,Denmark,FIFA World Cup 2022,2,3,0.3342,0,0.1671,0.0,0.0
Arda Güler,Türkiye,UEFA Euro 2024,5,9,0.3341,1,0.0668,0.2,0.111
Jacob Shaffelburg,Canada,Copa America 2024,3,5,0.3332,1,0.1111,0.3333,0.2
Jackson Irvine,Australia,FIFA World Cup 2022,3,3,0.3324,0,0.1108,0.0,0.0
Idrissa Gana Gueye,Senegal,FIFA World Cup 2022,3,4,0.3324,0,0.1108,0.0,0.0
Yahia Attiyat allah,Morocco,FIFA World Cup 2022,2,2,0.3316,0,0.1658,0.0,0.0
Luis Miguel Nlavo Asue,Equatorial Guinea,AFCON 2023,1,3,0.3297,0,0.3297,0.0,0.0
Jefferson Andrés Lerma Solís,Colombia,Copa America 2024,5,8,0.3292,2,0.0658,0.4,0.25
Jonas Hofmann,Germany,FIFA World Cup 2022,1,1,0.3266,0,0.3266,0.0,0.0
Mikel Merino Zazón,Spain,UEFA Euro 2024,2,3,0.326,1,0.163,0.5,0.333
Gabriel Fernando de Jesus,Brazil,FIFA World Cup 2022,1,2,0.324,0,0.324,0.0,0.0
Ayoze Pérez Gutiérrez,Spain,UEFA Euro 2024,1,3,0.324,0,0.324,0.0,0.0
Ui-Jo Hwang,Korea Republic,FIFA World Cup 2022,1,1,0.3231,0,0.3231,0.0,0.0
Samet Akaydin,Türkiye,UEFA Euro 2024,2,2,0.3209,1,0.1605,0.5,0.5
Carlos Eccehomo Cuesta Figueroa,Colombia,Copa America 2024,1,3,0.32,0,0.32,0.0,0.0
Mohammed Kanoo,Saudi Arabia,FIFA World Cup 2022,2,6,0.3194,0,0.1597,0.0,0.0
Luka Sučić,Croatia,UEFA Euro 2024,2,3,0.3184,0,0.1592,0.0,0.0
Miguel Ángel Terceros,Bolivia,Copa America 2024,3,7,0.3177,0,0.1059,0.0,0.0
Christian Fassnacht,Switzerland,FIFA World Cup 2022,1,1,0.3168,0,0.3168,0.0,0.0
Nayef Aguerd,Morocco,FIFA World Cup 2022; AFCON 2023,2,2,0.3154,0,0.1577,0.0,0.0
Mohamed Youcef Belaïli,Algeria,AFCON 2023,3,10,0.314,0,0.1047,0.0,0.0
Keysher Fuller Spence,Costa Rica,FIFA World Cup 2022,2,3,0.3116,1,0.1558,0.5,0.333
Sphephelo S''Miso Sithole,South Africa,AFCON 2023,4,5,0.3114,0,0.0778,0.0,0.0
Aymeric Laporte,Spain,FIFA World Cup 2022; UEFA Euro 2024,5,6,0.3094,0,0.0619,0.0,0.0
Riccardo Calafiori,Italy,UEFA Euro 2024,2,3,0.3093,0,0.1547,0.0,0.0
Bilal El Khannous,Morocco,AFCON 2023,2,2,0.3072,0,0.1536,0.0,0.0
Saba Lobzhanidze,Georgia,UEFA Euro 2024,1,1,0.3065,0,0.3065,0.0,0.0
Rafael Santos Borré Amaury,Colombia,Copa America 2024,1,1,0.3054,0,0.3054,0.0,0.0
Rodrigo Eduardo Echeverría Sáez,Chile,Copa America 2024,2,4,0.3046,0,0.1523,0.0,0.0
Mohamed Dräger,Tunisia,FIFA World Cup 2022,2,4,0.3036,0,0.1518,0.0,0.0
Fabián Cornelio Balbuena González,Paraguay,Copa America 2024,3,4,0.3026,0,0.1009,0.0,0.0
Sekou Koita,Mali,AFCON 2023,3,6,0.3023,0,0.1008,0.0,0.0
Mohamed El Amine Amoura,Algeria,AFCON 2023,1,2,0.3005,0,0.3005,0.0,0.0
Wahbi Khazri,Tunisia,FIFA World Cup 2022,2,5,0.2978,1,0.1489,0.5,0.2
Mykhailo Mudryk,Ukraine,UEFA Euro 2024,2,6,0.2977,0,0.1488,0.0,0.0
Alexander Hartmann Bah,Denmark,FIFA World Cup 2022; UEFA Euro 2024,3,4,0.2975,0,0.0992,0.0,0.0
César Saúl Huerta Valera,Mexico,Copa America 2024,2,4,0.2971,0,0.1486,0.0,0.0
Robin Aime Robert Le Normand,Spain,UEFA Euro 2024,3,3,0.2959,0,0.0986,0.0,0.0
Joseph Paintsil,Ghana,AFCON 2023,1,1,0.2925,0,0.2925,0.0,0.0
Angelo Smit Preciado Quiñónez,Ecuador,FIFA World Cup 2022; Copa America 2024,5,9,0.2899,0,0.058,0.0,0.0
Franculino Gluda Djú,Guinea-Bissau,AFCON 2023,2,2,0.2898,0,0.1449,0.0,0.0
Johan Bakayoko,Belgium,UEFA Euro 2024,2,3,0.2893,0,0.1447,0.0,0.0
Joachim Andersen,Denmark,FIFA World Cup 2022; UEFA Euro 2024,6,7,0.2892,0,0.0482,0.0,0.0
Hiroki Sakai,Japan,FIFA World Cup 2022,1,1,0.2877,0,0.2877,0.0,0.0
Adam Gnezda Čerin,Slovenia,UEFA Euro 2024,4,4,0.286,0,0.0715,0.0,0.0
Christopher Wooh,Cameroon,FIFA World Cup 2022; AFCON 2023,2,3,0.2856,1,0.1428,0.5,0.333
Jin-Su Kim,Korea Republic,FIFA World Cup 2022,1,3,0.2853,0,0.2853,0.0,0.0
Issoufou Dayo,Burkina Faso,AFCON 2023,2,2,0.2813,0,0.1407,0.0,0.0
Josip Šutalo,Croatia,UEFA Euro 2024,1,1,0.2778,0,0.2778,0.0,0.0
Robert Andrich,Germany,UEFA Euro 2024,4,7,0.2757,0,0.0689,0.0,0.0
Stefan de Vrij,Netherlands,UEFA Euro 2024,3,4,0.2754,1,0.0918,0.3333,0.25
Abdelkarim Hassan Al Haj Fadlalla,Qatar,FIFA World Cup 2022,3,6,0.2749,0,0.0916,0.0,0.0
Davide Frattesi,Italy,UEFA Euro 2024,2,2,0.273,0,0.1365,0.0,0.0
Hakan Çalhanoğlu,Türkiye,UEFA Euro 2024,4,10,0.2705,1,0.0676,0.25,0.1
Haris Seferović,Switzerland,FIFA World Cup 2022,1,1,0.2703,0,0.2703,0.0,0.0
Pervis Josué Estupiñán Tenorio,Ecuador,FIFA World Cup 2022,1,2,0.2701,0,0.2701,0.0,0.0
Konrad Laimer,Austria,UEFA Euro 2024,2,2,0.2693,0,0.1347,0.0,0.0
José Paolo Guerrero Gonzáles,Peru,Copa America 2024,2,2,0.2692,0,0.1346,0.0,0.0
Morteza Pouraliganji,IR Iran,FIFA World Cup 2022,2,2,0.2688,0,0.1344,0.0,0.0
Víctor Alejandro Dávila Zavala,Chile,Copa America 2024,2,5,0.2681,0,0.134,0.0,0.0
Pape Gueye,Senegal,FIFA World Cup 2022; AFCON 2023,4,6,0.268,1,0.067,0.25,0.167
Alieu Fadera,Gambia,AFCON 2023,2,3,0.2679,0,0.134,0.0,0.0
Luis Francisco Romo Barrón,Mexico,Copa America 2024,3,6,0.2672,0,0.0891,0.0,0.0
Musa Barrow,Gambia,AFCON 2023,3,8,0.267,0,0.089,0.0,0.0
Witiness Chimoio João Quembo,Mozambique,AFCON 2023,3,4,0.2649,1,0.0883,0.3333,0.25
Raphaël Varane,France,FIFA World Cup 2022,3,3,0.2644,0,0.0881,0.0,0.0
Michael Amir Murillo Bermudez,Panama,Copa America 2024,3,4,0.264,1,0.088,0.3333,0.25
Josip Stanišić,Croatia,FIFA World Cup 2022; UEFA Euro 2024,2,2,0.2635,0,0.1317,0.0,0.0
Jakub Kamiński,Poland,FIFA World Cup 2022,2,4,0.2625,0,0.1312,0.0,0.0
Hamdi Fathi,Egypt,AFCON 2023,4,7,0.2615,0,0.0654,0.0,0.0
Edmond Fayçal Tapsoba,Burkina Faso,AFCON 2023,2,4,0.2608,0,0.1304,0.0,0.0
Boubakar Kouyate,Mali,AFCON 2023,1,2,0.2594,0,0.2594,0.0,0.0
Kevin José Rodríguez Cortez,Ecuador,FIFA World Cup 2022; Copa America 2024,4,6,0.2591,1,0.0648,0.25,0.167
Tim Ream,United States,FIFA World Cup 2022,1,1,0.2582,0,0.2582,0.0,0.0
Eduardo Camavinga,France,UEFA Euro 2024,1,2,0.258,0,0.258,0.0,0.0
Mateo Retegui,Italy,UEFA Euro 2024,2,4,0.2576,0,0.1288,0.0,0.0
Iddrisu Baba Mohammed,Ghana,AFCON 2023,2,2,0.2569,0,0.1284,0.0,0.0
Eduardo Antonio Guerrero Lozcano,Panama,Copa America 2024,3,3,0.2567,1,0.0856,0.3333,0.333
Ibrahim Sangaré,Côte d'Ivoire,AFCON 2023,2,5,0.2563,0,0.1281,0.0,0.0
Jeremy Doku,Belgium,UEFA Euro 2024,3,5,0.2554,0,0.0851,0.0,0.0
Joško Gvardiol,Croatia,FIFA World Cup 2022; UEFA Euro 2024,3,4,0.255,1,0.085,0.3333,0.25
Mitchell Thomas Duke,Australia,FIFA World Cup 2022,3,7,0.2547,1,0.0849,0.3333,0.143
Hemeya Tanjy,Mauritania,AFCON 2023,2,4,0.2543,0,0.1272,0.0,0.0
Dávid Hancko,Slovakia,UEFA Euro 2024,3,4,0.2534,0,0.0845,0.0,0.0
Julian Jeanvier,Guinea,AFCON 2023,2,4,0.253,0,0.1265,0.0,0.0
Pierre-Emile Højbjerg,Denmark,FIFA World Cup 2022; UEFA Euro 2024,5,9,0.2528,0,0.0506,0.0,0.0
Johan Felipe Vásquez Ibarra,Mexico,Copa America 2024,2,5,0.252,0,0.126,0.0,0.0
Sergino Dest,United States,FIFA World Cup 2022,4,6,0.2519,0,0.063,0.0,0.0
Jannick Buyla Sam,Equatorial Guinea,AFCON 2023,1,1,0.2517,1,0.2517,1.0,1.0
Emam Ashour Metwally Abdelghany,Egypt,AFCON 2023,3,7,0.2512,0,0.0837,0.0,0.0
Kobbie Mainoo,England,UEFA Euro 2024,3,5,0.2504,0,0.0835,0.0,0.0
Walid Cheddira,Morocco,FIFA World Cup 2022,1,2,0.2494,0,0.2494,0.0,0.0
Deroy Duarte,Cape Verde Islands,AFCON 2023,2,5,0.2489,0,0.1244,0.0,0.0
André-Frank Zambo Anguissa,Cameroon,FIFA World Cup 2022; AFCON 2023,2,2,0.2483,0,0.1242,0.0,0.0
Federico Chiesa,Italy,UEFA Euro 2024,3,8,0.2481,0,0.0827,0.0,0.0
Michael Steveen Estrada Martínez,Ecuador,FIFA World Cup 2022,2,3,0.2464,0,0.1232,0.0,0.0
Osman Bukari,Ghana,FIFA World Cup 2022,2,3,0.2463,1,0.1231,0.5,0.333
Folarin Balogun,United States,Copa America 2024,2,5,0.246,2,0.123,1.0,0.4
Scott McTominay,Scotland,UEFA Euro 2024,1,4,0.2456,1,0.2456,1.0,0.25
Francisco Javier Calvo Quesada,Costa Rica,FIFA World Cup 2022; Copa America 2024,2,2,0.245,1,0.1225,0.5,0.5
Sultan Abdullah Salim Al Ghannam,Saudi Arabia,FIFA World Cup 2022,1,2,0.2448,0,0.2448,0.0,0.0
Roderick Alonso Miller Molina,Panama,Copa America 2024,2,3,0.2436,0,0.1218,0.0,0.0
Mehmet Zeki Çelik,Türkiye,UEFA Euro 2024,1,1,0.2424,0,0.2424,0.0,0.0
César Jasib Montes Castro,Mexico,FIFA World Cup 2022; Copa America 2024,2,4,0.2417,0,0.1209,0.0,0.0
Hirving Rodrigo Lozano Bahena,Mexico,FIFA World Cup 2022,3,6,0.2404,0,0.0801,0.0,0.0
N'Golo Kanté,France,UEFA Euro 2024,3,5,0.2402,0,0.0801,0.0,0.0
Mykola Shaparenko,Ukraine,UEFA Euro 2024,1,1,0.2398,1,0.2398,1.0,1.0
Guessouma Fofana,Mauritania,AFCON 2023,1,1,0.2394,0,0.2394,0.0,0.0
Famara Diedhiou,Senegal,FIFA World Cup 2022,1,3,0.2381,1,0.2381,1.0,0.333
Martin Braithwaite Christensen,Denmark,FIFA World Cup 2022,1,1,0.2379,0,0.2379,0.0,0.0
Ebrima Colley,Gambia,AFCON 2023,1,1,0.2359,1,0.2359,1.0,1.0
Thomas Teye Partey,Ghana,FIFA World Cup 2022,2,2,0.2357,0,0.1179,0.0,0.0
Nélson Cabral Semedo,Portugal,UEFA Euro 2024,1,2,0.2345,0,0.2345,0.0,0.0
Garang Kuol,Australia,FIFA World Cup 2022,1,1,0.2339,0,0.2339,0.0,0.0
Kaan Ayhan,Türkiye,UEFA Euro 2024,1,3,0.2332,0,0.2332,0.0,0.0
Richard Rios Montoya,Colombia,Copa America 2024,6,8,0.233,1,0.0388,0.1667,0.125
João Maria Lobo Alves Palhinha Gonçalves,Portugal,FIFA World Cup 2022; UEFA Euro 2024,3,6,0.2315,0,0.0772,0.0,0.0
Wilfried Stephane Singo,Côte d'Ivoire,AFCON 2023,3,5,0.2315,0,0.0772,0.0,0.0
Ramin Rezaeian,IR Iran,FIFA World Cup 2022,1,2,0.2304,1,0.2304,1.0,0.5
Danilo Luís Hélio Pereira,Portugal,UEFA Euro 2024,1,1,0.2295,0,0.2295,0.0,0.0
Armando Broja,Albania,UEFA Euro 2024,1,2,0.2289,0,0.2289,0.0,0.0
Mama Samba Baldé,Guinea-Bissau,AFCON 2023,2,3,0.2286,0,0.1143,0.0,0.0
Dayotchanculle Upamecano,France,UEFA Euro 2024,3,3,0.2276,0,0.0759,0.0,0.0
Iliman Ndiaye,Senegal,FIFA World Cup 2022; AFCON 2023,2,3,0.2272,1,0.1136,0.5,0.333
Bruno Alberto Langa,Mozambique,AFCON 2023,3,4,0.2268,0,0.0756,0.0,0.0
Ollie Watkins,England,UEFA Euro 2024,3,3,0.2245,1,0.0748,0.3333,0.333
Valentin Mihai Mihăilă,Romania,UEFA Euro 2024,1,4,0.2244,0,0.2244,0.0,0.0
Jannik Vestergaard,Denmark,UEFA Euro 2024,3,4,0.2236,0,0.0745,0.0,0.0
Iñaki Williams Arthuer,Ghana,FIFA World Cup 2022; AFCON 2023,3,3,0.2234,0,0.0745,0.0,0.0
Mattia Zaccagni,Italy,UEFA Euro 2024,2,2,0.2222,1,0.1111,0.5,0.5
Abdülkerim Bardakcı,Türkiye,UEFA Euro 2024,2,2,0.221,0,0.1105,0.0,0.0
Diego Nicolás De La Cruz Arcosa,Uruguay,FIFA World Cup 2022; Copa America 2024,5,6,0.2204,0,0.0441,0.0,0.0
Dominik Szoboszlai,Hungary,UEFA Euro 2024,2,6,0.2196,0,0.1098,0.0,0.0
Milan Škriniar,Slovakia,UEFA Euro 2024,3,3,0.2195,0,0.0732,0.0,0.0
Yaser Esneider Asprilla Martínez,Colombia,Copa America 2024,1,2,0.2182,0,0.2182,0.0,0.0
Yves Bissouma,Mali,AFCON 2023,3,6,0.2177,0,0.0726,0.0,0.0
Moriba Kourouma Kourouma,Guinea,AFCON 2023,2,3,0.2174,0,0.1087,0.0,0.0
Krépin Diatta,Senegal,FIFA World Cup 2022; AFCON 2023,4,5,0.2172,0,0.0543,0.0,0.0
Rey Manaj,Albania,UEFA Euro 2024,2,2,0.2157,0,0.1079,0.0,0.0
Timi Elšnik,Slovenia,UEFA Euro 2024,2,3,0.2154,0,0.1077,0.0,0.0
Jan Vertonghen,Belgium,FIFA World Cup 2022; UEFA Euro 2024,3,3,0.2126,0,0.0709,0.0,0.0
Silvan Widmer,Switzerland,FIFA World Cup 2022; UEFA Euro 2024,3,3,0.2111,0,0.0704,0.0,0.0
Jhon Adolfo Arias Andrade,Colombia,Copa America 2024,5,7,0.2087,0,0.0417,0.0,0.0
Piero Aldair Quispe Córdova,Peru,Copa America 2024,1,1,0.2083,0,0.2083,0.0,0.0
Thiago Emiliano da Silva,Brazil,FIFA World Cup 2022,2,2,0.2082,0,0.1041,0.0,0.0
Stephane Aziz Ki,Burkina Faso,AFCON 2023,2,8,0.2074,0,0.1037,0.0,0.0
Cenk Tosun,Türkiye,UEFA Euro 2024,2,3,0.2059,1,0.1029,0.5,0.333
Craig Goodwin,Australia,FIFA World Cup 2022,2,2,0.2051,1,0.1025,0.5,0.5
Karol Świderski,Poland,UEFA Euro 2024,2,2,0.2044,0,0.1022,0.0,0.0
Jan Bednarek,Poland,UEFA Euro 2024,1,1,0.2037,0,0.2037,0.0,0.0
Jakub Piotr Kiwior,Poland,FIFA World Cup 2022; UEFA Euro 2024,2,3,0.2036,0,0.1018,0.0,0.0
Fashion Sakala,Zambia,AFCON 2023,1,2,0.202,0,0.202,0.0,0.0
Matheus Luiz Nunes,Portugal,FIFA World Cup 2022; UEFA Euro 2024,2,2,0.2019,0,0.101,0.0,0.0
Leandro Trossard,Belgium,UEFA Euro 2024,2,4,0.2011,0,0.1006,0.0,0.0
Lameck Banda,Zambia,AFCON 2023,2,5,0.2004,0,0.1002,0.0,0.0
Luka Jović,Serbia,FIFA World Cup 2022; UEFA Euro 2024,2,3,0.1999,1,0.0999,0.5,0.333
Issa Kabore,Burkina Faso,AFCON 2023,1,1,0.1996,0,0.1996,0.0,0.0
