player,team,competitions,matches,shots,xg,goals,xg_per_match,goals_per_match,shot_accuracy
James David Rodríguez Rubio,Colombia,Copa America 2024,5,8,1.1124,1,0.2225,0.2,0.125
Fabian Lukas Schär,Switzerland,FIFA World Cup 2022; UEFA Euro 2024,5,8,1.1076,1,0.2215,0.2,0.125
Éder Gabriel Militão,Brazil,FIFA World Cup 2022; Copa America 2024,5,7,1.1073,0,0.2215,0.0,0.0
Facundo Pellistri Rebollo,Uruguay,FIFA World Cup 2022; Copa America 2024,3,4,1.1072,1,0.3691,0.3333,0.25
Rasmus Winther Højlund,Denmark,UEFA Euro 2024,3,6,1.104,0,0.368,0.0,0.0
Denis Mihai Drăguş,Romania,UEFA Euro 2024,3,5,1.1,1,0.3667,0.3333,0.2
Temitayo Olufisayo Olaoluwa Aina,Nigeria,AFCON 2023,4,4,1.0986,0,0.2747,0.0,0.0
Willy Afonso Semedo Johnson,Cape Verde Islands,AFCON 2023,3,5,1.0951,0,0.365,0.0,0.0
Yangel Clemente Herrera Ravelo,Venezuela,Copa America 2024,4,8,1.0906,0,0.2726,0.0,0.0
Ángel Fabián Di María Hernández,Argentina,FIFA World Cup 2022; Copa America 2024,7,13,1.0824,1,0.1546,0.1429,0.077
Mohammed Kudus,Ghana,FIFA World Cup 2022; AFCON 2023,5,17,1.0684,4,0.2137,0.8,0.235
Nicolas Pépé,Côte d'Ivoire,AFCON 2023,4,5,1.0634,1,0.2659,0.25,0.2
Nicolás Alejandro Tagliafico,Argentina,FIFA World Cup 2022; Copa America 2024,5,6,1.0601,0,0.212,0.0,0.0
Mislav Oršić,Croatia,FIFA World Cup 2022,5,10,1.0596,2,0.2119,0.4,0.2
Kevin De Bruyne,Belgium,FIFA World Cup 2022; UEFA Euro 2024,7,18,1.0558,1,0.1508,0.1429,0.056
Bryan Alberto Silva Teixeira Jr.,Cape Verde Islands,AFCON 2023,2,3,1.0549,2,0.5274,1.0,0.667
Dušan Vlahović,Serbia,FIFA World Cup 2022; UEFA Euro 2024,4,9,1.0329,1,0.2582,0.25,0.111
Jean-Charles Castelletto,Cameroon,FIFA World Cup 2022; AFCON 2023,3,3,1.0303,2,0.3434,0.6667,0.667
Santiago Tomás Giménez,Mexico,Copa America 2024,3,8,1.0287,0,0.3429,0.0,0.0
Marcos Aoás Corrêa,Brazil,FIFA World Cup 2022; Copa America 2024,3,3,1.0274,0,0.3425,0.0,0.0
Jules Koundé,France,FIFA World Cup 2022; UEFA Euro 2024,5,6,1.0239,1,0.2048,0.2,0.167
Tajon Buchanan,Canada,FIFA World Cup 2022; Copa America 2024,5,7,1.0059,0,0.2012,0.0,0.0
Adrien Rabiot,France,FIFA World Cup 2022; UEFA Euro 2024,7,12,0.9902,1,0.1415,0.1429,0.083
Christian Dannemann Eriksen,Denmark,FIFA World Cup 2022; UEFA Euro 2024,7,16,0.9891,1,0.1413,0.1429,0.062
Ruben Vargas,Switzerland,FIFA World Cup 2022; UEFA Euro 2024,6,8,0.9872,1,0.1645,0.1667,0.125
Karl Brillant Toko Ekambi,Cameroon,FIFA World Cup 2022; AFCON 2023,4,8,0.9867,1,0.2467,0.25,0.125
Bruno Guimarães Rodriguez Moura,Brazil,FIFA World Cup 2022; Copa America 2024,5,11,0.9856,0,0.1971,0.0,0.0
Jordy Josué Caicedo Medina,Ecuador,Copa America 2024,1,3,0.9842,1,0.9842,1.0,0.333
Adama Traoré,Mali,AFCON 2023,3,6,0.9773,0,0.3258,0.0,0.0
Steven Berghuis,Netherlands,FIFA World Cup 2022,3,6,0.9755,0,0.3252,0.0,0.0
Youssouf Fofana,France,FIFA World Cup 2022; UEFA Euro 2024,5,6,0.9721,1,0.1944,0.2,0.167
Romain Saïss,Morocco,FIFA World Cup 2022; AFCON 2023,2,2,0.9711,2,0.4856,1.0,1.0
Nuno Mendes,Portugal,UEFA Euro 2024,2,4,0.9682,1,0.4841,0.5,0.25
Manuel Ugarte Ribeiro,Uruguay,Copa America 2024,4,5,0.9628,1,0.2407,0.25,0.2
Liam Millar,Canada,Copa America 2024,4,6,0.9623,0,0.2406,0.0,0.0
Sardar Azmoun,IR Iran,FIFA World Cup 2022,2,5,0.9606,0,0.4803,0.0,0.0
Piotr Zieliński,Poland,FIFA World Cup 2022; UEFA Euro 2024,5,11,0.9604,1,0.1921,0.2,0.091
Kelechi Promise Iheanacho,Nigeria,AFCON 2023,2,4,0.9581,1,0.4791,0.5,0.25
Nicholas Williams Arthuer,Spain,UEFA Euro 2024,4,12,0.9486,2,0.2371,0.5,0.167
Mohamed Abdelmonem,Egypt,AFCON 2023,4,6,0.9475,1,0.2369,0.25,0.167
Barnabás Varga,Hungary,UEFA Euro 2024,2,4,0.9389,1,0.4694,0.5,0.25
Mohamed Salah,Egypt,AFCON 2023,1,4,0.9348,1,0.9348,1.0,0.25
